Asin,Title,Review
B06X14Z8JP,Don’t waste your money!!!,Horrible product!!! Hasn’t lasted 8 weeks! Battery does not hold a charge. Do Not Buy This Product!!!!
B06X14Z8JP,One Star,sound quality POOR
B06XYPJN4G,Great Technology but takes some practice to use properly,"I noticed some review stated the batteries only last a couple of hours per charge. That is not my experience and I've had mine for many months. One charge lasts many hours. I recently charged them and went to a family gathering 250 miles away and over an entire day they lasted perfectly, including driving back after the day long visit. WARNING: Some of the reviews shown here by Amazon are not reviews for the Bose Hearphones but instead are for regular Bose noise cancelling headphones. I gave these HEARPHONES five stars after my first use, but I mentioned that it was difficult to fit the ear buds. Now I have learned to fit them myself and I must withdraw that small criticism. I put them on today. drove to the market, did some shopping, drove home. I could have wonderfully clear conversation with the checker despite background in a very busy area. Then on the way home I turned on the car radio, which I never can hear properly even with my 3,000 dollar ""regular"" hearing aids. With the hearphones I could hear music on the car radio with pristine clarity and the sounds of the traffic around me was no problem. There is one small drawback, which is that the on/off switch is hidden from view when wearing them (the switch is on the neckpiece). The first day I used them I had a group of about a dozen people to relate to around a table. The result was far superior to my ordinary hearing aids, and the control through my cell phone app was excellent. The earbuds are not the sort you just press into your ear. Instead there are some curving cords connected to the earbuds which fit into the contour of your ear to keep the earbuds in place. It is tricky to learn to get them in properly but it can be done after a bit of practice. The reward is worth the effort!"
B06X14Z8JP,Broke after one use,Broke after one use! I expected more more from This company but they were cheaply made and your better off getting a pair at the dollar tree!
B06XYPJN4G,"This unit is basically ""throw away"" after the battery dies.",Bose tells me that the batteries are good for about 500 recharge cycles. Once the battery dies you have to buy a new unit. No provisions for battery replacement. This means you may need to replace the unit with a new one in less than 2 years if you use daily. Very sad - I LOVE these things.
B06XYPJN4G,"Trapped in an increasingly noisy world? These help, a lot.","I recently accepted the fact that age is taking its toll on my hearing. I haven't gone in for tests, but online tests show my hearing diminished in the upper ranges. the ladies in my life had already remarked that I asked them to repeat, way too often.I attended a business cocktail party at San Diego Comic Con. Lots of people, loud music, I couldn't understand anything being said. I'm a Bose fan, having tried almost all of their products. I own the QC30s...I sprung for these and I couldn't be happier. I bought them just in time for Gen Con. More loud music, more crowded rooms. These buds performed like champs.I'm still learning the adjustments. If I have both buds in during a noisy dinner, the fraction of a second time delay before I hear my voice is a little disconcerting. But I'm sure I will adapt.At home, I did not understand how much dialogue I was missing on TV.And, being Bose, they pair easily--be sure and get the app--and they sound great.I now have a hearing appointment, but dang these are nice. Dial down on the noise cancelling, and almost all of the background noise in a loud restaurant disappears. and comfort, I forget they're in my ears. Highly recommended."
B06XBT1R3S,Comparison to Bombas Socks review!,"Before I bought these, I scanned the reviews for a comparison to Bombas. I didn’t see any so I’m writing one for those who may be wondering. These are pretty good socks. I wear a size 9 and still find them slightly looser than my Bombas socks, but I haven’t washed them yet so that might change. My first impressions are, they are thinner than Bombas, but are just as comfy and sit slightly higher on the ankle, which I happen to like. I’ve attached pictures for comparison and for you to see how they sit in your shoes. Overall, I think if you’re looking for a comfortable sock, with arch support, these are a good deal."
B06XBT1R3S,These run very big,I was very excited when I ordered these socks. Usually socks give you a huge range like these and they still fit very small feet. These socks are really big. I usually wear size 5-6 shoe. I am not able to wear these socks with my running shoes.
B06XBT1R3S,I can't praise these enough,"They're very similar to Balega's hidden comfort socks, but they're much cheaper. I don't run long distances, so perhaps Balega's may be better in those instances. These are my favorite socks. They don't slip down in the shoes, but they're not too high on the ankle. I really can't praise these enough. They're incredibly comfortable! I wore them in warmer weather (70-80 degrees) and cooler weather (50-55 degrees), and I was comfortable in both. They may be too thick for any hotter than 80 though."
B07JHPTN6Z,Died after two months,"I bought this for distance running and initially they were great; good sound quality, good connection, and comfortable to use. They held up great during my long runs earlier in the year, but after my first long run in relatively warm weather of the year (21 miles, 70 degrees yesterday) I think sweat killed these. They no longer charge or connect to my phone, and while they can power on and off there is a constant feedback buzz sound when they are on. Incredibly disappointing that they failed so soon and not even in that hot of weather, so it wasn't like there was an excessive amount of sweat.These may be good for the gym or light workouts where you won't be sweating too much, but for anything intensive I suspect they won't last very long."
B07JHPTN6Z,Nice battery life.,Well the first time I charged and used it seemed to last considerably long over a two day period so the second time I charged them for used I began in the beginning of my shift so I could start a timer to determine just how long continuous use would provide me. 7 hours 14 minutes 23 seconds. That is with sound constantly streaming between phone calls and audio books. I will be curious how degradation occurs over the next few weeks or months. Updates coming soon!Update: 7hrs 31min now in February of nearly continual YouTube and audible.com usage. I use 6 days a week and it is still holding a charge excellently 2 months in.
B07JHPTN6Z,"Great sound, wonderful comfort and fit, and a great price.","This was such a pleasant surprise. I had been having bad luck with fitness bluetooth ear buds. I had a pair from a brand that was the same as my wired ones that were amazing in the areas of comfort/fit, sound, and value. The BT earbuds from that company had decent sound, decent fit, but they cut out constantly. That drove me nuts. I returned them, and tried another brand that were even worse. I tried these because they were similar to the style of my wired earbuds (I like the memory wire, in-ear monitor style) and I am happy to say that these Fit Sport 3's have so far met and exceeded all my expectations. They sound amazing with all the bass you could want without overpowering the mids and highs (although there is an EQ setting you could choose if you wanted to have the bassier sound), and the fit and comfort are perfect for me. They dont hurt my ears at all (in fact, the comfort and locked-in fit of these with the silicon ear fins are wonderful) and they dont even start to fall out. I'm on day 3 with these, and if things go south in quality, I'll revise this review, but to be honest, I will probably contact customer service first and have them send me another pair, because these are the BT earbuds I have been looking for. And they were 20 bucks less than the others! Can't wait to get outside and jog a bit to really put these thru the paces. If there is one flaw I have in the design, it would be that the cord is a little too long, but that is just personal taste. But I am really stretching to find a flaw in these."
